place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,types,business_status,city,collected_at
ChIJoe04rqTEhkcRcIdpU-TIkgc,Banco BPM,bank,45.39208170000001,9.174737700000001,2.0,8.0,,"Via Eugenio Curiel, 25, Rozzano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:36.263978
ChIJkRBTvaXEhkcRKA0Dew9xZJ0,Cassa Rurale ed Artigiana Di Binasco - Credito Cooperativo,bank,45.39481679999999,9.1687654,4.0,4.0,,"Piazza Fontana, 20, Rozzano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:36.264004
ChIJ3wz9HJvEhkcR6VfILmM3Byw,Intesa Sanpaolo S.p.A.,bank,45.4101173,9.1751044,2.0,62.0,,"Via dei Missaglia, 97, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:38.802298
ChIJqwNj_4bEhkcRmGzUc21rATk,Crédit Agricole Italia,bank,45.4187009,9.176482499999999,2.9,24.0,,"Via Corradino D'Ascanio, 4, Milano","bank,atm,insurance_agency,finance,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:42.260649
ChIJgTJJ4obEhkcRNgVfT8GmoA4,UniCredit,bank,45.41850300000001,9.1766145,3.3,27.0,,"Via Corradino D'Ascanio, 4, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:42.260693
ChIJozjjcXPFhkcRfzyTuPiy65Y,Banco BPM,bank,45.4182864,9.1800545,3.1,8.0,,"Via Nicola Romeo, 14, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:42.260703
ChIJP-qnBFvEhkcRgr7LEpqB3sA,"BANCO DESIO – Filiale di Milano, via Ripamonti 265 ang. via Federico Chopin 111",bank,45.42515,9.204021899999997,3.5,6.0,,"Via Ripamonti, Via Federico Chopin, 265, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:44.760359
ChIJZVhqLSzFhkcRRUS8V2Zd_qw,Banco BPM,bank,45.43001539999999,9.2036288,5.0,1.0,,"Via Val di Sole, 22, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:46.920426
ChIJMf1T4UPEhkcR8ZXTt-0CSD8,Credem Banca,bank,45.4330288,9.201643700000002,2.9,22.0,,"Via Giuseppe Ripamonti, 189, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:49.527815
ChIJCbsSE0HEhkcRSV9A3NX2LcY,Crédit Agricole Italia,bank,45.434576,9.201251,3.0,8.0,,"Via Giuseppe Ripamonti, 177, Milano","bank,atm,insurance_agency,finance,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:49.527861
ChIJYw6JCEHEhkcRpffbgdqi36Y,Intesa Sanpaolo S.p.A.,bank,45.4349339,9.200655,1.5,64.0,,"Via Giuseppe Ripamonti, 166, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:49.527878
ChIJV7en_r3DhkcR6A6BQpUlAAA,Banca Popolare di Sondrio SpA,bank,45.4373411,9.1511502,4.3,23.0,,"Viale Faenza, 22, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:51.076814
ChIJPVgvytrDhkcRbBuue-iyyYc,Banco BPM,bank,45.43874220000001,9.1522989,2.0,30.0,,"Via Capo Palinuro, 2, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:51.076851
ChIJ0X37_HTEhkcRBPdFyZrpO9M,UniCredit,bank,45.4380432,9.1782064,2.8,113.0,,"VIA MEDA, Viale Giovanni da Cermenate, 60, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:52.203816
ChIJ0yP2sHXFhkcRFCIFZrhOseQ,Banco BPM,bank,45.4372812,9.1779349,2.4,22.0,,"Via Lodovico Montegani, 2, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:52.203845
ChIJCxR7CwrEhkcRaElnkFbZ4n0,Crédit Agricole Italia,bank,45.4371145,9.1812585,3.9,54.0,,"Viale Giovanni da Cermenate, 44, Milano","bank,atm,insurance_agency,finance,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:15:52.350332
ChIJZ9jfWgnFhkcR9sEATFwfRm0,Deutsche Bank Easy,bank,45.4356252,9.1833921,4.5,2.0,,"Via Volvinio, 24, Milano","bank,insurance_agency,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:52.350367
ChIJly5_5grEhkcRyPZ90fDDIq4,Intesa Sanpaolo S.p.A.,bank,45.43893159999999,9.178689599999998,2.1,126.0,,"Via Giuseppe Meda, 49, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:52.350378
ChIJXxxgwj_EhkcR7_jd3CoEZho,Banco BPM,bank,45.4393277,9.1997469,2.5,16.0,,"Via Giuseppe Ripamonti, 114, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:52.660964
ChIJ9fLhVGfFhkcRJyhAXoQcT_8,BANCA POPOLARE DI SONDRIO,bank,45.436753,9.215158200000001,2.7,10.0,,"Via Marco D'Agrate, 11, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:52.845434
ChIJV7dbrzXEhkcRE-bZH4yz9eE,M.C.B. Di Cavallini Marco & C. (S.A.S.),bank,45.438374,9.218405899999999,,,,"Via Mincio, 28, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:53.470803
ChIJb1n-08vFhkcRz0S_PYeLccc,Credit Du Maroc S.A.- Ufficio Di Rappresentanza,bank,45.4387015,9.2272223,,,,"Via Carlo Marochetti, 21, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:53.585201
ChIJHTDphsjFhkcRbvQ7iWfNvW4,"BANCO DESIO – Filiale Milano Corvetto, via G.B. Cassinis 15",bank,45.4370225,9.2312395,3.6,7.0,,"Via Giovanni Battista Cassinis, 15, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:53.585231
ChIJOXbxsgvFhkcRJB9z0p5cjww,Banco BPM,bank,45.4357498,9.233997900000002,3.4,5.0,,"Via Giovanni Battista Cassinis, 33, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:53.718666
ChIJgejpl7_DhkcR7Z6dsaVj7IU,Intesa Sanpaolo S.p.A.,bank,45.441019,9.151375600000001,2.2,92.0,,"Via Ettore Ponti, 55, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:55.072725
ChIJA9nhy7_DhkcRN5UzPSuz3Jk,Fondo di Previdenza del Personale della Banca Nazionale del Lavoro,bank,45.44016480000001,9.1517481,,,,"Via Santa Rita da Cascia, 33, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:55.072739
ChIJ6YULnf7DhkcRxtVMC1hUsIU,UniCredit,bank,45.4435745,9.147684399999997,3.0,2.0,,"Viale Giulio Richard, 7, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:55.072744
ChIJmQxLz8TDhkcR-ztQilReuhA,Banca Popolare di Sondrio SpA,bank,45.4431496,9.1644318,3.3,16.0,,"CARLO 1, Via Carlo Bo, 1, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:55.261441
ChIJc1P1c9DGhkcRcNlKkIX5_RE,Nextmove // Web and Digital Agency,bank,45.44157149999999,9.175921299999999,,,,"Via Ascanio Sforza, 85, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:55.433059
ChIJb8Y7-gDFhkcR3b8kVJyNCQU,Banca Monte dei Paschi di Siena S.p.A,bank,45.4414324,9.216666,2.5,16.0,,"Viale Brenta, 16/18, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:56.466745
ChIJ3-Y7qzbEhkcR8ZDMINj_yWM,Milano Hub,bank,45.4413929,9.216799,,,,"Viale Brenta, 18, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:56.466773
ChIJ_fIslzPEhkcRB_Bo_ZwVHRM,Crédit Agricole Italia,bank,45.44197399999999,9.219809999999999,4.3,38.0,,"Corso Lodi, 102, Milano","bank,atm,insurance_agency,health,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:56.593472
ChIJq8dzYTPEhkcRCA9SceV3Piw,UniCredit,bank,45.4412417,9.2211415,2.9,92.0,,"C.SO LODI, Via Oglio, 110, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:56.593507
ChIJ6eiBT8vFhkcRNJfCiTxaMpg,Intesa Sanpaolo S.p.A.,bank,45.4401978,9.22335,1.7,95.0,,"Corso Lodi, 132, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:56.593515
ChIJERRYtEHFhkcR3Lvgjiz8X2U,Banco BPM,bank,45.4433526,9.217752200000001,2.8,12.0,,"Corso Lodi, 83, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:56.593520
ChIJk88lss_FhkcR5Q-jGTKGJik,Bcc,bank,45.4432605,9.2326754,3.0,2.0,,"Via Vincenzo Toffetti, 108, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:56.840096
ChIJoTXz4UbChkcRoxPrbkUc4iA,BNL BNP Paribas,bank,45.442705,9.114818999999999,2.2,19.0,,"Via Giuseppe di Vittorio, 10, Corsico","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:57.906193
ChIJwwWz6DjChkcRvpqcfIi9AO0,Pfizer Leasing Ireland Limited,bank,45.4466936,9.1158611,,,,"Via Anna Maria Mozzoni, 12, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:57.906220
ChIJmZXVciXDhkcRlpRvXqtgvF4,Intesa Sanpaolo SPA,bank,45.4459405,9.1197566,3.0,3.0,,"Via Bisceglie, 120, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:57.906230
ChIJA0m_9AnEhkcRFTp7plGKPY4,Intesa Sanpaolo S.p.A.,bank,45.4452265,9.179065,2.5,30.0,,"Via Giuseppe Meda, 12, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:59.128556
ChIJdfinKAjEhkcRpTGlNoCx3T4,Euronet Pay & Transaction Services S.r.l,bank,45.4476145,9.178629200000001,1.0,1.0,,"Via Pavia, 6, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:59.128584
ChIJm-b49aTFhkcRzluoQdb7tDs,Banca Monte dei Paschi di Siena S.p.A,bank,45.4475801,9.1793421,3.6,9.0,,"Via Pavia, 2/A, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:59.248691
ChIJSRR66iTEhkcR2mEuvlQhb3g,BNL BNP Paribas,bank,45.44820530000001,9.2094725,1.7,36.0,,"Corso Lodi, 37, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:15:59.538935
ChIJP47zISXEhkcRxs4LQcCppaM,Banco BPM,bank,45.4484118,9.211834399999999,3.2,21.0,,"Viale Umbria, 4, Milano","bank,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:16:00.159848
ChIJZy8TmdzFhkcR9A8MKmg_Wh8,Intesa Sanpaolo S.p.A.,bank,45.4455686,9.244568899999999,2.1,59.0,,"Viale Ungheria, 14/1, Milano","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:16:00.493920
ChIJp1qR1wzChkcRH8nFGoiU64I,Intesa Sanpaolo S.p.A.,bank,45.4461146,9.094606700000002,2.0,48.0,,"Via Monsignor Pogliani, 13, Cesano Boscone","bank,atm,finance,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:16:01.534163
