place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,types,business_status,city,collected_at
ChIJJ5LA6qTEhkcRUvwsnQDeboU,PALEXTRA SSD a.R.L.,gym,45.3964918,9.1721759,4.3,42.0,,"Via Mincio, 24, Rozzano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:44.557798
ChIJueqJWwDFhkcROWp8N-X2Cq4,Fit Express Milano Fiordaliso,gym,45.39310949999999,9.173854000000002,3.7,9.0,,"Via Eugenio Curiel, 25, Rozzano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:44.557845
ChIJE_iLwKTEhkcRKgQ26kRFUsc,Well Fit Associazione Sportiva Dilettantistica,gym,45.3964918,9.1721759,5.0,1.0,,"Via Mincio, 24/26, Rozzano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:44.557855
ChIJ39s2VIHFhkcRI5I7wOyx0to,GymActive,gym,45.4001102,9.1733308,5.0,38.0,,"Via Eugenio Curiel, 2, Rozzano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:44.983987
ChIJ8d8cmqLEhkcRaO71citcGZI,Pugilistica Domino | Palestra | Milano | Gratosoglio,gym,45.4071001,9.1731738,4.5,18.0,,"Via Michele Saponaro, 30, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:46.100290
ChIJZ2mKrJHEhkcRoUTUfwClaI0,Centro Sportivo Peppino Vismara,gym,45.409513,9.1792357,4.3,832.0,,"Via dei Missaglia, 117, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:47.264112
ChIJcURU_xHFhkcRwqhU4b4UM14,S.S.D. Madas s.r.l.,gym,45.40708699999999,9.2290716,4.4,19.0,,"Via delle Cascine, 16, San Donato Milanese","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:48.351856
ChIJNxr0V4LEhkcR58AAzIfca2U,Dynamic Center,gym,45.41435999999999,9.1702089,4.9,87.0,,"Via Achille Feraboli, 37, Milano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:48.611779
ChIJZeHfk1TFhkcRTnwz1e1fsOg,BioYoga: Bioenergetica e Yoga,gym,45.4152047,9.239339700000004,,,,Milan,"gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:49.861709
ChIJtdXsKvjFhkcRGyKBjmc2IpQ,Posturalcentro,gym,45.4178487,9.178240100000002,4.9,53.0,,"Via Fratelli Fraschini, 12, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:50.929975
ChIJubGX0FDFhkcR6u6z3suvObM,"Palestra Pubblica ""La Compagnia dell'Anello"" | Parco Calisthenics",gym,45.4209853,9.1754468,5.0,3.0,,Milan,"gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:50.930017
ChIJzwUslhrFhkcRjtr-kGZMaDE,WM Studio,gym,45.4195423,9.205028,5.0,1.0,,"Via Giuseppe Ripamonti, 367, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:51.252016
ChIJIVT-PH_EhkcRYOkS4til-xc,Milanosport - Swimming,gym,45.42506789999999,9.173066999999998,3.8,669.0,,"Via Sant'Abbondio, 12, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:53.216211
ChIJJ_IK2RTFhkcRJ3C_sJSQgqo,Reattiva,gym,45.4232216,9.1765689,5.0,8.0,,"Via Fabrizio de Andrè, 2, Milano","gym,doctor,physiotherapist,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:53.216247
ChIJbdXxp0zFhkcRhJkMq7j5lLs,Crossfit dei missaglia,gym,45.4231981,9.1766533,4.9,16.0,,"Via Fabrizio de Andrè, 2, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:53.216257
ChIJo8nArsnFhkcR9ODy-NQhZGE,Magnitudo Training-Lab,gym,45.4248425,9.1982065,5.0,30.0,,"Via Antegnati, 11/Palazzina 13/C, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:53.488824
ChIJ9UkM_urFhkcRj0FsGAqyoPE,FitActive Milano Ripamonti,gym,45.425711,9.200710499999998,4.5,680.0,,"Via Muzio Attendolo Detto Sforza, 11, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:53.603196
ChIJjWN2jgDDhkcRoWzxPFXMjRM,Gym And Fun (Piscina Estiva),gym,45.4241654,9.128281599999998,3.6,122.0,,"Via Indipendenza, 3, Buccinasco","gym,point_of_interest,health,establishment",CLOSED_TEMPORARILY,milan,2026-02-06T15:09:54.621938
ChIJNc9goOLDhkcRNdIRBtaJaow,Spazio-Sport,gym,45.43050340000001,9.161879500000001,,,,"Via San Paolino, 20, Milano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:54.965504
ChIJS__CepfFhkcR1oeYlyIiSIg,Parco Calisthenics Street Workout Fatima,gym,45.42864429999999,9.2058424,4.3,6.0,,"Via Federico Chopin, 17, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:56.053840
ChIJTxwP8q3FhkcRcRIsKtuDc5k,Servizio Personal Training - Calisthenics,gym,45.4293457,9.207507399999999,5.0,5.0,,"Via Piero Bottoni, 10, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:56.053898
ChIJAXd5qkXEhkcRIZci_W4GMNE,Polisportiva Milano,gym,45.4308576,9.2046681,,,,"Via Ermanno Wolf Ferrari, 6, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:56.053910
ChIJpxYugJXFhkcRy5K0vXma3Uk,A.S.D. Kodokan Milan,gym,45.4307232,9.2453991,5.0,13.0,,"Via Monte Popera, 5, Milano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:57.000258
ChIJHV0ZesfFhkcRfP3YR7dSxvM,Arctos Academy,gym,45.4277178,9.2498306,5.0,46.0,,"Via Privata Fidenza, 1, Milano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:57.000315
ChIJ9blcNr3DhkcRnMzfL6a05PQ,Suryanagara-Ashram (Yoga Milano),gym,45.4331796,9.148688,4.8,4.0,,"Via Teramo, 5, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:57.410697
ChIJY_vBE4XDhkcRJ6d5UQgex10,Scuola Calcio Barona 1971,gym,45.4333186,9.1663573,4.1,21.0,,"Via San Paolino, Milano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:57.665374
ChIJVapI8fDDhkcRRQUMmaTZUDc,G.S.QUARTIERE S. AMBROGIO,gym,45.4309245,9.164155800000003,5.0,2.0,,"Via San Paolino, 18, Milano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:57.665428
ChIJz0CqnYXDhkcRJvFwgA0R7_A,Centri Di Aggregazione Multifunzionale,gym,45.43081999999999,9.164329999999998,4.0,3.0,,"Via San Paolino, 18, Milano","gym,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:09:57.665437
ChIJszSRNYjDhkcRddCoFe-IrFU,Dojo Otani - Palestra Di Judo,gym,45.43312479999999,9.172135899999999,4.7,26.0,,"Via Pescarenico, 2, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:57.775779
ChIJtxvDr3HEhkcRpZxSKgyv-iQ,20 Hours Club gym Medeghino Bocconi area,gym,45.4329741,9.182976100000001,3.4,152.0,,"Via Medeghino, 2, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.473052
ChIJfydOsOzFhkcRrbxgBC-fM0g,BEBO PILATES STUDIO,gym,45.4341684,9.1812068,,,,"Via Stadera, 6, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.473105
ChIJxUKRIXLEhkcRVZDMDVxlxQs,Milano Fitness Lab,gym,45.4350093,9.1843189,5.0,31.0,,"Via Nicola Palmieri, 61, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.586142
ChIJF86wNkLEhkcRz4YbovNgGu0,Dribselling,gym,45.4325462,9.1992281,5.0,1.0,,"Via Sibari, 15/A, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.716392
ChIJp5A4sF3FhkcRjxtImoy6Nmo,Tweeling Pilates,gym,45.4321558,9.1982901,5.0,3.0,,"Via Sibari, 15 B, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.716446
ChIJQ-_K2UnFhkcRNfieVoVlNDw,Calisthenics Union Ripamonti - Corsi di calisthenics,gym,45.43188989999999,9.198864799999997,5.0,17.0,,"Via Sibari, 15, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.716458
ChIJ9wBqxD3FhkcRRgkXxzhv7wY,Team Petrosyan,gym,45.4316716,9.199148500000002,4.8,37.0,,"Via Sibari, 15, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.716466
ChIJBUX0sorDhkcRmxjTprUs_lM,Patuá ASD - capoeira and martial arts,gym,45.4350118,9.207676900000001,4.9,35.0,,"Via Cortina d'Ampezzo 14, Viale Gran Sasso, 48, Corbetta","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.924063
ChIJaRNSOUTFhkcRBmP0HgR6W9s,Shorinji Kempo Milano Sud Branch - Scuola di Arti Marziali,gym,45.4352819,9.207947800000001,5.0,10.0,,"Via Cortina d'Ampezzo, 14, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.924123
ChIJWyeXfkjEhkcRc1pruoSiRK4,Allenamento Funzionale Calisthenics Milano,gym,45.4353065,9.2079238,4.9,53.0,,"Via Cortina d'Ampezzo, 14, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:58.924133
ChIJ94fGDpXFhkcRiRpTuluSG9E,La Conca Dei 5 Umeboshi,gym,45.4325279,9.244995000000001,4.9,27.0,,"Via Monte Palombino, 16, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:59.941220
ChIJR3FfKgDFhkcRsONV6y0_TdU,Corso di Yoga,gym,45.4325419,9.245054099999999,,,,"Via Monte Palombino, 16, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:09:59.941262
ChIJOZwGR4rFhkcRSQypKpydaak,Polisportiva Budosan,gym,45.42956829999999,9.2636325,4.7,3.0,,"Via John Fitzgerald Kennedy, San Donato Milanese","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.127630
ChIJ-6Pqc4PPhkcRq4MjY8jhOBg,Accademia Tao – Difesa Personale & Arti Marziali San Donato,gym,45.4292667,9.2606605,4.9,41.0,,"nuova palestra Scuola Media, Via Triulziana 48 Altra sede (da novembre 2025, Via Agadir, San Donato Milanese","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.127685
ChIJW5608o7DhkcRftzAn69HgQU,FitActive Buccinasco,gym,45.43429820000001,9.119653000000001,4.3,585.0,,"Via Andrea Mantegna, 1, Buccinasco","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.392388
ChIJJW371VrDhkcR_yJSANaEfwI,Urban Fitness Buccinasco,gym,45.4365809,9.1184607,5.0,12.0,,"Via Vigevanese, 3, Buccinasco","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.392440
ChIJ56tf_dPDhkcRenTDf3q8mx8,Fit Boutique Gym & Wellness ASD,gym,45.4326111,9.1203309,4.8,71.0,,"Via degli Alpini, 48, Buccinasco","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.392452
ChIJAQBQd1HChkcRsHzNMw6HXRQ,Studio Regina Pilates,gym,45.4324762,9.1203569,4.9,48.0,,"Via degli Alpini, 48b, Buccinasco","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.392462
ChIJj3A2xm7DhkcRf2k0vKhQbTY,Bunker 34,gym,45.4358501,9.116575400000004,5.0,30.0,,"Via Filippo Turati, 1, Corsico","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.392471
ChIJsxmgZADDhkcR6_-5M_dH8xE,Area Calisthenics,gym,45.4362759,9.1418695,4.5,2.0,,"Parco Andrea Campagna, Viale Faenza, Milano","gym,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:10:00.561987
ChIJJar_rzjDhkcRfugkpEtou28,Corpoemovimento PilatesYoga&more,gym,45.4396709,9.140361500000001,5.0,5.0,,"Via Privata Paternò, Milano","gym,point_of_interest,health,establishment",CLOSED_TEMPORARILY,milan,2026-02-06T15:10:00.672444
