place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,types,business_status,city,collected_at
ChIJW3D3x4XFhkcROjlsnFiMiYg,Area Cani 3,park,45.3934746,9.1724967,3.9,18.0,,Rozzano,"park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:53.299670
ChIJE8U54dPFhkcRJvNJdEi8WGk,Parco pubblico - Manduria,park,45.4028242,9.1810365,4.5,16.0,,"Via Manduria, 108/21, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:53.920432
ChIJdWOh74fFhkcRgngpR4I-uLk,Parco,park,45.4012608,9.205697100000002,4.0,4.0,,"Via capornago, 1, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:54.161094
ChIJBUudKgDFhkcRJa2yBd33924,Parque infantil,park,45.3954516,9.214515200000001,1.0,1.0,,"Via Sporting Mirasole, 46, Opera","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:54.836231
ChIJ2xL-avDFhkcRd5hL5UPEvrY,Area cani - Baroni/Saponaro,park,45.4079313,9.173015699999999,3.0,4.0,,"Via Michele Saponaro, 28, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:55.074811
ChIJhwagB_jFhkcReG6P1qkuydQ,Parco pubblico - Baroni/Saponaro,park,45.4081287,9.171661799999997,,,,"Via Costantino Baroni, 47, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:55.074859
ChIJXUxtsYTEhkcRRFRFXiPnmWg,Fontanili e Merli Onoranze Funebri - Ag. BARONI,park,45.4124047,9.173619099999998,4.9,34.0,,"Via Costantino Baroni, 14/C, Milano","funeral_home,florist,park,general_contractor,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:07:56.249809
ChIJPTDEhhHFhkcRLWie6OumrjI,Parco Pertini,park,45.4053822,9.228380800000004,4.0,87.0,,"Via Unica Poasco, 15, Poasco","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:57.340295
ChIJOZjGbwDFhkcRSVndzFlQvnA,Parco Giochi di Via Sandro Pertini,park,45.4051777,9.2286682,,,,"Parco Pertini, Via Unica Poasco, 15, Poasco","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:57.340310
ChIJqbawd-rFhkcRB65qjXcWySE,Area cani,park,45.414096,9.168740699999999,3.0,1.0,,"Via Gratosoglio, 79, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:57.593287
ChIJN-PvWADFhkcRXb_lcjchBI8,Giardino della Pace,park,45.416037,9.175292599999997,2.0,2.0,,"Via dei Missaglia, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:57.696662
ChIJVYNUSwDFhkcRIt7RBQvj_N8,Oasi Ca' Granda,park,45.4134408,9.205836299999998,4.3,96.0,,"Via Giuseppe Ripamonti, 428, Milano","park,lodging,point_of_interest,establishment",CLOSED_TEMPORARILY,milan,2026-02-06T15:07:58.001720
ChIJgQjvZQDFhkcR0bJL_jZIThk,Ponte al Lambro MI,park,45.41695299999999,9.203764999999999,,,,"Via Giuseppe Ripamonti, 402, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:58.612238
ChIJqW9VqoDEhkcRQagXEyJvsSc,Anello di allenamento Via dei Missaglia,park,45.42104709999999,9.1753599,4.5,21.0,,Milan,"park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:07:59.981664
ChIJYVWZc4jEhkcRvksYSnYDnag,Parco Quartiere Le Terrazze,park,45.4193605,9.181245700000002,4.4,232.0,,"Via dei Missaglia, 57/B, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:00.094263
ChIJEbwuX8nFhkcROAo0EVxXy84,"""Bosco umido - Ecosistema filtro"" del Parco della Vettabbia",park,45.4198054,9.225913799999999,4.8,5.0,,Milan,"park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:01.130885
ChIJUyequzrFhkcRHSPNDiRfzR0,Parco della Vettabbia,park,45.41743919999999,9.235252,4.3,81.0,,"Abbazia Di, Chiaravalle","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:01.250716
ChIJtd9MiPDDhkcRMOanDICLAQQ,Parco Delle Risaie,park,45.4219526,9.1388541,3.8,12.0,,"Via San Marchetto, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:01.507479
ChIJdykhUsnDhkcRiB3bDc4BaU4,Parco Scout in memoria di Flavio Rossoni,park,45.4218176,9.1302164,4.6,5.0,,"Via Indipendenza, Buccinasco","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:01.507526
ChIJt44uIwDDhkcRSq_0J8Rgr9c,Borgo Verde,park,45.42483620000001,9.1640642,5.0,14.0,,"Via Boffalora, 5359, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:01.845383
ChIJASaJDUDFhkcRzPkJDggp12s,Parco fiume Lambro meridionale,park,45.422313,9.1703961,3.7,3.0,,"Unnamed Road, 20142, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:02.478170
ChIJzzNUVH7FhkcR3GmGX6pnFYg,BoschiAmo,park,45.4218151,9.1709739,4.7,6.0,,"Via Privata Pienza, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:02.478207
ChIJL2fSJNzDhkcRkT8FJCPoZGs,Area cani,park,45.4256699,9.166105000000002,,,,"Via Jan Palach, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:02.478216
ChIJp2UJcx7FhkcR3HZmJVYC880,Area cani - Missaglia,park,45.4253337,9.1782245,4.5,8.0,,"Via dei Missaglia, 17, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:02.588525
ChIJGSCOVGPEhkcRHLGvmdZJ9-Q,Marcite del Ticinello,park,45.42508579999999,9.182801799999998,4.4,27.0,,Milan,"park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:02.703600
ChIJ4-EuQhnFhkcRaMs-REoJWpA,Parco pubblico - Pampuri,park,45.4245604,9.2020006,4.6,7.0,,"Via Fra Riccardo Pampuri, 9, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:02.962804
ChIJ9V5VbZnFhkcRVIusekr3LeQ,NECKER,park,45.42443359999999,9.2038725,,,,"Via Federico Chopin, 105, Milano","park,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:08:02.962859
