place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,types,business_status,city,collected_at
ChIJQ8QXyqTEhkcRjruhyjtrM30,FARMEUROPA,pharmacy,45.39212430000001,9.174337,1.9,63.0,,"Via Eugenio Curiel, 25/15, Rozzano","pharmacy,health,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:28.609321
ChIJrbQf9yDFhkcR6-fc2nwOBz8,Tamoil,pharmacy,45.396753,9.210361100000002,4.2,64.0,,"EX SS. 412 ""DELLA VAL TIDONE, VIA, 15, Noverasco","gas_station,pharmacy,store,bar,restaurant,point_of_interest,food,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:28.989088
ChIJy4gLsSbFhkcREwta74F8POE,Farmacia Noverasco di Farmacia Nova S.R.L,pharmacy,45.3952619,9.2114865,4.6,24.0,,"Via Enrico Fermi, 1/7, Opera","pharmacy,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:28.989105
ChIJ_b1pgJnEhkcRS3JSDfyEp04,Farmacia Bertolini,pharmacy,45.407151,9.1739413,4.9,62.0,,"Via Michele Saponaro, 34, Milano","pharmacy,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:30.265319
ChIJPTWeVpvEhkcRxZkZ407r9EY,BENU Farmacia Milano N. 38,pharmacy,45.4113473,9.172673900000001,3.3,69.0,,"Via Michele Saponaro, 2, Milano","pharmacy,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:31.342254
ChIJ74D7fobEhkcR9p1LjVewcQ4,Virbac Italia,pharmacy,45.41582040000001,9.1768607,3.3,17.0,,"Via Ettore Bugatti, 15, Milano","pharmacy,veterinary_care,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:32.878171
ChIJ3db11Z_FhkcRowwP_WyF-lc,Benu Farmacia,pharmacy,45.4158694,9.2405397,3.5,2.0,,"Via San Bernardo, 42, Milano","pharmacy,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:34.088683
ChIJw5CbpnXFhkcRCXdXCR5hWdo,Farmacia Comunale Milano N. 86 (Dispensario Chiaravalle),pharmacy,45.415907,9.240456999999997,3.0,3.0,,"Via San Bernardo, 42, Chiaravalle","pharmacy,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:34.088719
ChIJ4V6m1YDEhkcRCNSHyG6rfNM,Azienda Farmacie Milanesi S.P.A.,pharmacy,45.41876630000001,9.1745628,3.0,5.0,,"Via Guido de Ruggiero, 8, Milano","pharmacy,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:35.174838
ChIJG4AxpojEhkcRdidqt1doEPc,Farmacia Quai Dr. Arduino G.,pharmacy,45.4181491,9.178093299999999,4.7,50.0,,"Via Fratelli Fraschini, 8, Milano","pharmacy,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:35.174885
ChIJF9b504bEhkcRzUqrxSVCwk0,Farmacia Comunale,pharmacy,45.4188073,9.1745732,4.1,39.0,,"Via Guido de Ruggiero, 8, Milano","pharmacy,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:35.174895
ChIJk_4BUlrEhkcRqAHZHTq4O3c,BENU Farmacia Milano N. 76,pharmacy,45.4253372,9.2046537,3.6,40.0,,"Via Federico Chopin, 111, Milano","pharmacy,health,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:37.863050
ChIJyQUuR4fDhkcRYiQhgJeDltU,BENU Farmacia Milano N. 40,pharmacy,45.4271964,9.170405299999999,3.6,41.0,,"Via della Chiesa Rossa, 95, Milano","pharmacy,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:39.174404
ChIJg06LXXnEhkcRKPWxBCT2KCs,Lafarmacia. Boifava,pharmacy,45.4270787,9.176427000000002,3.8,127.0,,"Via Pietro Boifava, 31/B, Milano","pharmacy,drugstore,spa,beauty_salon,veterinary_care,store,health,food,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:39.290553
ChIJu5Qtu3DEhkcRz1ufCNjlZX0,Farmacia Chiesa Rossa - Lumini Dr. Norberto - Milano,pharmacy,45.43090399999999,9.179763699999997,4.3,40.0,,"Via Medeghino, 27, Milano","pharmacy,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:39.924746
ChIJQSMW6UTEhkcRWzLe7g999tE,Farmacia Val Di Sole,pharmacy,45.4295279,9.202552200000001,4.1,51.0,,"Via Val di Sole, 22, Milano","pharmacy,health,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:40.157417
ChIJ99Zy2pnDhkcRBvtfFzuc2HA,BENU Farmacia Milano N. 84,pharmacy,45.43187169999999,9.1536767,3.5,35.0,,"Via Agostino de Pretis, 1, Milano","pharmacy,health,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:41.486740
ChIJL-oDaYXDhkcRifGAeP4M_2o,Farmacia Comunale Milano N. 56,pharmacy,45.4311035,9.1629082,3.7,26.0,,"Via San Paolino, 18, Milano","pharmacy,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:41.682641
ChIJvSos7HbEhkcR-SJbLSLk_ic,Farmacia Montegani dal 1911,pharmacy,45.4339161,9.177589500000002,3.8,72.0,,"Via Anton Giulio Barrili, 20, Milano","pharmacy,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:02:41.883384
ChIJZzLsbUHEhkcR5A1K1UFmSTo,Farmacia Rocchi Di Rocchi Alessandro,pharmacy,45.4342993,9.200794100000001,4.4,29.0,,"Via Luigi Alamanni, 2, Milano","pharmacy,store,point_of_interest,health,establishment",OPERATIONAL,milan,2026-02-06T15:02:42.734022
