place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,types,business_status,city,collected_at
ChIJNbFlySbFhkcRmV8-RvcN2PE,Tinys Nursery School,school,45.3947399,9.2117167,5.0,13.0,,"Via Enrico Fermi, 1, Noverasco","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:47.769990
ChIJ0ZGQV1XFhkcRJt7KhR19QjU,"Scuola Primaria ""Feraboli""",school,45.4152431,9.170674,,,,"Via Achille Feraboli, 44, Milano","primary_school,school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:51.197659
ChIJU-W91yXFhkcRQEos7hgifd4,RiAbiLa,school,45.41351839999999,9.173686499999997,4.9,8.0,,"Via Achille Feraboli, 15, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:51.197708
ChIJ2Rsn0ePFhkcRMDqjaBxjA60,Ejército de Luz,school,45.4149839,9.1759339,,,,"Via Selvanesco, 79, Milano","school,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:51.301664
ChIJcVsM4FXFhkcRa7vWwukdMuQ,Istituto Comprensivo - Via Arcadia,school,45.41720710000001,9.172134500000002,,,,"Via dell'Arcadia, 24, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:51.301708
ChIJG4AxpojEhkcRVxyWhaBefP4,Istruttore Sub,school,45.416697,9.180158,4.5,2.0,,"Via Fratelli Fraschini, Milano","school,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:51.412455
ChIJPUWBF0bDhkcR9Qvd_rMAkDE,Lezioni di canto e voce - Francesca De Mori,school,45.4195767,9.157716899999999,,,,"Via del Mare, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:53.319633
ChIJVyWTAITEhkcRb7GdmWzpCVU,Asilo Nido Orlando 11,school,45.4183052,9.174503,,,,"Via Vittorio Emanuele Orlando, 2, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:53.575584
ChIJ-yfsctrFhkcRiedtV_rzUEo,"""VARIEVIE"" immersa nella natura",school,45.4217111,9.1864776,4.9,17.0,,"Via Campazzino, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:53.760059
ChIJBerW4WzDhkcRBD09cniC3Dk,Via pescarenico Milano,school,45.4258493,9.154833700000001,,,,"Via Cascina Bianca, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:55.177199
ChIJOYUDRMTFhkcRnc9mwHX3GA4,Nido Infanzia dei Missaglia 59,school,45.4230465,9.1784111,4.0,4.0,,"Via dei Missaglia, 59, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:55.986949
ChIJz9N124_FhkcRGE3tcz60W14,Scuola dell'Infanzia Comunale S. Abbondio,school,45.42557009999999,9.173378699999999,3.0,2.0,,"Via Sant'Abbondio, 27, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:55.986996
ChIJJ4KtCH7FhkcRVRc2BuyKAmg,VARIEVIE Zerosei Asilo nido e Scuola dell'Infanzia Bilingue zona Ripamonti-Vigentino,school,45.424994,9.1978858,4.9,9.0,,"Via Antegnati, Via Giuseppe Ripamonti, 11, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:56.266808
ChIJ-b06i1rEhkcRUP99F2QK8Ms,Scuola Secondaria di I Grado “Arturo Toscanini ”,school,45.4260446,9.2054765,,,,"Via dei Guarneri, 21, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:56.452842
ChIJJfdikezFhkcRTnjQcNxpPwE,Toscanini Arturo I. C. Fabio Filzi,school,45.4261004,9.205451299999998,,,,"Via dei Guarneri, 21, Milano","primary_school,school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:56.452886
ChIJkYXrvqPDhkcRfiRtRejDv2c,Cascina Battivacco,school,45.4299305,9.1431039,4.2,217.0,,"Via Barona, 111, Milano","grocery_or_supermarket,school,lodging,food,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:57.516206
ChIJyT5NdBjDhkcRQ4WB1Iis4PU,Scuola dell'Infanzia statale “Via De Pretis”,school,45.4300356,9.152763,4.0,1.0,,"Via Agostino de Pretis, 15, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:57.697861
ChIJGXXuBZPDhkcRyRSdhsTgRdU,Scuola dell' infanzia De Nicola,school,45.4303392,9.1564296,4.0,2.0,,"Via Enrico de Nicola, 18, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:57.697913
ChIJIUY4hpPDhkcRoYPyJGPPD4E,"Scuola Primaria ""De Nicola""",school,45.4308346,9.154362299999999,,,,"Via Enrico de Nicola, 2, Milano","primary_school,school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:57.697925
ChIJLbH25ZrDhkcR8RMha7GWFUY,Istituto Sant’Ambrogio,school,45.4298814,9.159102899999999,,,,"Via Enrico de Nicola, 40, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:57.697933
ChIJy4l6-obDhkcR_XVjgoQ7-yo,Asilo Nido - Jan Palach,school,45.4284878,9.1685556,4.5,2.0,,"Via Jan Palach, 1, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:57.893316
ChIJG-E51A7FhkcRZXRl1nrfChA,Istituto Pertini,school,45.426592,9.174050000000001,,,,"Via Pietro Boifava, 52, Milano","school,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:13:57.893366
