place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,types,business_status,city,collected_at
ChIJ1exkl7DEhkcRkPRj29EEZ-U,Iper La grande i - Rozzano,supermarket,45.3927757,9.1760176,4.3,13802.0,,"Via Eugenio Curiel, 25, Rozzano","drugstore,supermarket,grocery_or_supermarket,bakery,food,store,health,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:16.127296
ChIJxStYoKXEhkcRT9mEmresqus,Coop,supermarket,45.394496,9.1695823,4.0,87.0,,"Via Europa, 78 - 80, Rozzano","supermarket,convenience_store,grocery_or_supermarket,food,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:16.127309
ChIJ23GrVc_EhkcR6oQArPObmr0,Autogrill,supermarket,45.3914961,9.1894011,3.7,2022.0,2.0,"A50 Tangenziale Ovest di Milano, Rozzano","supermarket,cafe,grocery_or_supermarket,bar,store,restaurant,food,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:16.325876
ChIJpb9_lJvEhkcRNsDUrFtf6wI,Eurospin,supermarket,45.4084631,9.1729697,3.9,684.0,,"Via Michele Saponaro, 22, Milano","supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:18.645446
ChIJsXmCFq_FhkcRQ6BriDIYqwc,Macelleria Al Mostafa Minimarket,supermarket,45.41267510000001,9.1741693,4.7,14.0,,"Via Costantino Baroni, 8, Milano","supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:18.765597
ChIJ0SiVz5rFhkcRdOGa_m_kGiA,Le Botteghe de L'Impronta,supermarket,45.41351839999999,9.173686499999997,4.3,20.0,,"Via Achille Feraboli, 15, Milano","supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:20.063853
ChIJTZUVLcHFhkcRCgUvqdLCY-s,iN'S Mercato,supermarket,45.4150389,9.1731958,3.7,299.0,,"Via​ Arrigo Minerbi, 1, Milano","supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:20.063872
ChIJ2aHd4zXFhkcRCZiD2C1dLDU,IL BUON GUSTO,supermarket,45.4158694,9.2405397,4.3,17.0,,"Via San Bernardo, 42, Milano","supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:04:21.349398
ChIJ4xduQYfEhkcRZh7B6BXb9BU,Esselunga,supermarket,45.4207303,9.177494899999997,4.1,3044.0,,"Via dei Missaglia, 61 A, Milano","supermarket,grocery_or_supermarket,home_goods_store,store,point_of_interest,food,establishment",OPERATIONAL,milan,2026-02-06T15:04:22.437445
ChIJ57IcSwDFhkcRgPKCKW5W9I4,Ingresso parcheggio multipiano Esselunga,supermarket,45.4205514,9.1777468,,,,"Via dei Missaglia, 61 A, Milano","supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",OPERATIONAL,milan,2026-02-06T15:04:22.437488
