place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,types,business_status,city,collected_at
ChIJw5xHzLrEhkcRxEbvFMX3yiA,Via Curiel Via Lambro (Rozzano),transit_station,45.39450710000001,9.173052400000001,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590167
ChIJn8CL0rrEhkcRLowxbosYMUY,Via Curiel Via Lambro (Rozzano),transit_station,45.3947748,9.172915599999998,1.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590196
ChIJIaeCybrEhkcR_4KWZFurLHw,Via Curiel Via Lambro (Rozzano),transit_station,45.3942609,9.1730226,1.0,3.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590206
ChIJxQSTy7rEhkcRYAezw0C8T0E,Via Curiel Via Lambro (Rozzano),transit_station,45.39437090000001,9.1728866,5.0,7.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590214
ChIJFdt3W6PEhkcR8538DS_ROgw,Via Curiel Via Maggi (Rozzano),transit_station,45.39812149999999,9.1729142,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590223
ChIJ65v4TaPEhkcR_Sp5lRpN33Y,Via Curiel Via Maggi (Rozzano),transit_station,45.3982208,9.173456599999998,5.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590231
ChIJ91I-TqPEhkcRiZsKtsF6RKc,Via Curiel Via Maggi (Rozzano),transit_station,45.39828679999999,9.1733786,3.3,4.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590239
ChIJW7g_YaPEhkcRRE9ShTVdAhc,Via Curiel Via Maggi (Rozzano),transit_station,45.3980278,9.1721396,4.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590247
ChIJw7WVFKTEhkcRQZp9ynpxQUw,Via Maggi Via Trebbia (Rozzano),transit_station,45.3971008,9.169092599999999,3.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.590255
ChIJO8_CKyHFhkcRcJecZy0eu5E,"OPERA Noverasco - SS412, 1",transit_station,45.3948563,9.210936299999998,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891463
ChIJjR2FLCHFhkcR-3VuVI-5OEI,"Ss 412, 1 (Opera)",transit_station,45.3946969,9.2109221,5.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891489
ChIJZ6Vr0ibFhkcRnE7Q56XYbzU,"SS 412, 1 (Opera)",transit_station,45.3943696,9.211163399999998,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891499
ChIJ7eedzybFhkcRM0XdVawR-wI,"SS 412, 1 (Opera)",transit_station,45.39404099999999,9.2113801,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891507
ChIJDaPXzSbFhkcRKOV7AU4MkNk,"OPERA Noverasco - SS412, 1",transit_station,45.3939678,9.211403499999998,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891516
ChIJhSJxMt7EhkcRvJyvP8hYzj0,Casa Di Reclusione,transit_station,45.3990928,9.2059672,3.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891524
ChIJC4F7Ld7EhkcRN2DTS9OiJYY,Casa Di Reclusione,transit_station,45.3991519,9.2059862,3.3,6.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891532
ChIJuzceSSHFhkcRmouM_ydbpS4,Noverasco,transit_station,45.394921,9.2124031,4.5,2.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:16.891540
ChIJ50z2-JfEhkcRcDRcxOgpYcE,Via Manduria Via Dei Missaglia,transit_station,45.4026429,9.175535800000002,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023498
ChIJb-qg-5fEhkcREiEDWyAUuyg,Via Manduria Via Dei Missaglia,transit_station,45.4025578,9.175922600000002,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023527
ChIJ10lsA5jEhkcRcJHvi-Iah50,Via Manduria Via Dei Missaglia,transit_station,45.4027298,9.1751495,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023537
ChIJj1p6bpjEhkcRGh4jnfbUpYw,Gratosoglio,transit_station,45.40306069999999,9.173698599999998,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023546
ChIJgRGHaZjEhkcR_p-OhqyeM9c,Gratosoglio,transit_station,45.4034042,9.173834300000001,,,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023554
ChIJXZP6PpjEhkcRFXa2RdUReO4,Gratosoglio,transit_station,45.40365870000001,9.174441500000004,5.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023562
ChIJFaJ4QZjEhkcR3qcRT-E-VYY,Gratosoglio,transit_station,45.4036848,9.173935499999999,3.9,11.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023571
ChIJMYzLjL3EhkcRggFULRz2ehw,Ronchetto Delle Rane,transit_station,45.40155379999999,9.179520499999997,4.3,4.0,,Italy,"bus_station,transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023579
ChIJyUCJXpjEhkcRV_BsIllat8Y,Gratosoglio,transit_station,45.40374569999999,9.173162499999998,5.0,3.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023587
ChIJ73JnOZjEhkcR9dTqZQ1NYBI,Via Dei Missaglia Via Baroni,transit_station,45.4038397,9.174637599999999,2.0,1.0,,Italy,"transit_station,point_of_interest,establishment",OPERATIONAL,milan,2026-02-06T15:17:17.023595
