place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,city,collected_at
ChIJP25FgaXEhkcRGwPzc5E4VFU,Farmacia Comunale N. 1,pharmacy,45.3905726,9.1668067,4.2,68.0,,"Viale Isonzo, 63, Rozzano",milan,2026-02-03T22:20:23.746621
ChIJQ8QXyqTEhkcRjruhyjtrM30,FARMEUROPA,pharmacy,45.39212430000001,9.174337,1.9,63.0,,"Via Eugenio Curiel, 25/15, Rozzano",milan,2026-02-03T22:20:23.863156
ChIJrbQf9yDFhkcR6-fc2nwOBz8,Tamoil,pharmacy,45.396753,9.210361100000002,4.2,64.0,,"EX SS. 412 ""DELLA VAL TIDONE, VIA, 15, Noverasco",milan,2026-02-03T22:20:25.212847
ChIJy4gLsSbFhkcREwta74F8POE,Farmacia Noverasco di Farmacia Nova S.R.L,pharmacy,45.3952619,9.2114865,4.6,24.0,,"Via Enrico Fermi, 1/7, Opera",milan,2026-02-03T22:20:25.212894
ChIJ96jBEV3FhkcR4mYL4KnkN3Y,Farmacia Comunale 2,pharmacy,45.3948165,9.2448149,3.3,35.0,,"Via della Vittoria, 20, Sesto Ulteriano",milan,2026-02-03T22:20:25.637577
ChIJZdP4cprPhkcRHHrs9hvIq8M,Farmacia Civesio,pharmacy,45.3982095,9.2636355,4.1,28.0,,"Via della Liberazione, 44, San Giuliano Milanese",milan,2026-02-03T22:20:26.890306
ChIJf5eg_L7PhkcRo1ro1aDNW_I,Farmacia Serenella,pharmacy,45.3960053,9.2816496,4.8,80.0,,"Piazza Vittorio Alfieri, 9, San Giuliano Milanese",milan,2026-02-03T22:20:27.052545
ChIJgxYefldYKhMRif_v_ZY-6ZU,Progine Farmaceutici,pharmacy,45.40075909999999,9.1510275,4.0,1.0,,"Palazzo F6, Assago Milanofiori, Strada 1, Assago",milan,2026-02-03T22:20:28.902220
ChIJmdNEfFzDhkcRKrzPC_jUH1U,Farmacia Valleambrosia - aperta 7 giorni su 7,pharmacy,45.39974369999999,9.1546906,4.7,88.0,,"Via Valleambrosia, 45, Rozzano",milan,2026-02-03T22:20:28.902262
ChIJq-ARXkLDhkcR2xVQEnm9-uM,Farmacia Assago - Milanofiori,pharmacy,45.4035351,9.152793800000001,2.8,64.0,,"Viale Milanofiori, 1, Assago",milan,2026-02-03T22:20:29.020571
